outcome,bid_total,auction_total,bid_per_auction_mean,bid_per_auction_max,bid_per_auction_min,bid_per_auction_std,bid_per_auction_entropy,bidder_ratio_per_auction_mean,bidder_ratio_per_auction_max,bidder_ratio_per_auction_min,bidder_ratio_per_auction_std,bidder_ratio_per_auction_entropy,bid_override_num,bid_override_norm_num,bid_override_in_auction,bid_override_norm_num_in_auction,bid_override_by_total_bid_override_mean,bid_override_by_total_bid_override_max,bid_override_by_total_bid_override_min,bid_override_by_total_bid_override_std,bid_override_by_total_bid_override_entropy,country_per_bidder,country_per_bidder_entropy,country_per_auction_entropy_mean,country_per_auction_entropy_max,country_per_auction_entropy_min,country_per_auction_entropy_std,country_per_auction_entropy_entropy,device_per_bidder,device_per_bidder_entropy,device_per_auction_entropy_mean,device_per_auction_entropy_max,device_per_auction_entropy_min,device_per_auction_entropy_std,device_per_auction_entropy_entropy,ip_per_bidder,ip_per_bidder_entropy,ip_share_num,ip_per_auction_entropy_mean,ip_per_auction_entropy_max,ip_per_auction_entropy_min,ip_per_auction_entropy_std,ip_per_auction_entropy_std,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,h_mean,h_max,h_min,h_std,h_entropy,F1,F2,F3,F4,F5,F6,f_max,f_min,f_std,f_entropy,Q1,Q2,Q3,Q4,q_max,q_min,q_std,q_entropy
0,4,3,1.333333333,2,1,0.471404521,0.94639463,0,0,0,0,0,0,0,0,0,0.000173519,0.000454545,3.72E-06,0.000200149,0.371179086,3,0.94639463,1,1,1,0,1,2,0.811278124,1,1,1,0,1,4,1,4,1,1,1,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0.041666667,0.5,0,0.11785113,0.327156438,0,0.25,0,0.25,0.5,0,0.5,0,0.186338998,0.580279211,0,0.25,0.75,0,0.75,0,0.306186218,0.405639062
0,3,2,1.5,2,1,0.5,0.918295834,1,0.333333333,1,0.5,0.5,1,0,0.5,0,0.002450608,0.003571429,0.001329787,0.001120821,0.843349289,2,0.918295834,1,1,1,0,1,3,1,1,1,1,0,1,2,0.918295834,0,1,1,1,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.041666667,0.666666667,0,0.146328524,0.200284263,0.666666667,0,0,0,0.333333333,0,0.666666667,0,0.254587539,0.355245321,0.666666667,0,0,0.333333333,0.666666667,0,0.276385399,0.459147917
0,17,14,1.214285714,2,1,0.410325903,0.980870379,1,0.058823529,1,0.071428571,0.071428571,1,0,0.257539377,0,0.004283401,0.035714286,1.88E-05,0.00888308,0.574647143,3,0.884614874,1,1,1,0,1,4,0.925613408,1,1,1,0,1,4,0.822855685,2,1,1,1,0,1,0,0,0.941176471,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.941176471,0,0.187928033,0.070394678,1,0,0,0,0,0,1,0,0.372677996,0,1,0,0,0,1,0,0.433012702,0
0,148,90,1.644444444,15,1,2.001727649,0.918794864,5,0.033783784,5,0.055555556,0.011111111,0.2,0,0.045812285,0.357667997,0.003385918,0.071428571,4.48E-05,0.008697317,0.731401831,14,0.624140336,1,1,1,0,1,81,0.917631546,1,1,1,0,1,129,0.980936029,104,1,1,1,0,1,0.168918919,0.067567568,0.081081081,0.054054054,0.040540541,0.013513514,0.027027027,0.02027027,0.02027027,0.054054054,0.02027027,0.02027027,0.040540541,0.02027027,0.047297297,0.047297297,0.040540541,0.040540541,0.027027027,0.02027027,0.027027027,0.033783784,0.027027027,0.040540541,0.041666667,0.168918919,0.013513514,0.031126745,0.93677717,0.371621622,0.101351351,0.114864865,0.155405405,0.128378378,0.128378378,0.371621622,0.101351351,0.093108228,0.929154877,0.425675676,0.162162162,0.236486486,0.175675676,0.425675676,0.162162162,0.105218997,0.94140211
0,23,20,1.15,2,1,0.357071421,0.986294149,0,0,0,0,0,0,0,0,0,0.035597214,0.333333333,0.000176149,0.073429888,0.603876436,2,0.558629373,1,1,1,0,1,17,0.979048124,1,1,1,0,1,17,0.979048124,9,1,1,1,0,1,0,0,0,0,0,0.260869565,0.304347826,0.260869565,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0.043478261,0.086956522,0,0,0.041666667,0.304347826,0,0.090923262,0.487139639,0,0.826086957,0,0.043478261,0,0.130434783,0.826086957,0,0.298512028,0.312449486,0.260869565,0.565217391,0.043478261,0.130434783,0.565217391,0.043478261,0.197754407,0.775468394
0,232,96,2.416666667,30,1,3.448026811,0.895466812,11,0.047413793,5,0.052083333,0.010416667,0.545454545,0,0.059944005,0.283621037,0.006514963,0.1,4.75E-05,0.013715043,0.759516564,21,0.709376045,0.998034147,1,0.811278124,0.019160764,0.999956869,87,0.874587199,1,1,1,0,1,140,0.939105918,117,1,1,1,0,1,0.043103448,0.081896552,0.056034483,0.099137931,0.086206897,0.047413793,0.034482759,0.030172414,0.017241379,0.073275862,0.034482759,0.025862069,0.030172414,0.047413793,0.017241379,0.034482759,0.043103448,0.034482759,0.017241379,0.038793103,0.017241379,0.021551724,0.012931034,0.056034483,0.041666667,0.099137931,0.012931034,0.023033361,0.955061327,0.280172414,0.198275862,0.150862069,0.129310345,0.13362069,0.107758621,0.280172414,0.107758621,0.05786503,0.968975771,0.413793103,0.215517241,0.206896552,0.163793103,0.413793103,0.163793103,0.096574813,0.950868396
0,4,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.004860555,0.012345679,0.001497006,0.00438709,0.745308752,1,1,1,1,1,0,1,4,1,1,1,1,0,1,4,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.041666667,0.25,0,0.093169499,0.436208584,0,0.25,0.25,0,0.5,0,0.5,0,0.186338998,0.580279211,0,0.5,0.25,0.25,0.5,0,0.176776695,0.75
0,383,158,2.424050633,80,1,6.38857198,0.851540527,9,0.023498695,8,0.050632911,0.006329114,0.222222222,0,0.028626065,0.40358588,0.004314118,0.038461538,3.87E-05,0.006325985,0.860053514,27,0.596431438,0.99721085,1,0.559314312,0.034947948,0.999855722,141,0.887984096,1,1,1,0,1,260,0.957939608,193,1,1,1,0,1,0.104438642,0.140992167,0.09921671,0.052219321,0.028720627,0.028720627,0.023498695,0.010443864,0.01305483,0.023498695,0.031331593,0.028720627,0.028720627,0.033942559,0.039164491,0.015665796,0.036553525,0.031331593,0.031331593,0.036553525,0.020887728,0.046997389,0.039164491,0.054830287,0.041666667,0.140992167,0.010443864,0.030350531,0.934164926,0.396866841,0.091383812,0.096605744,0.117493473,0.135770235,0.161879896,0.396866841,0.091383812,0.105643794,0.908976562,0.454308094,0.130548303,0.18537859,0.229765013,0.454308094,0.130548303,0.123081159,0.91941621
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.86E-06,1.86E-06,1.86E-06,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041666667,1,0,0.199826313,0,0,0,0,0,0,1,1,0,0.372677996,0,0,0,0,1,1,0,0.433012702,0
0,127,17,7.470588235,106,1,24.63884462,0.31524956,2,0.015748031,2,0.117647059,0.058823529,0.5,0,0.16109487,0.244650542,0.001832374,0.008695652,0.000125274,0.002710539,0.721329954,22,0.652547988,0.980680897,1,0.671575256,0.07727641,0.998775081,56,0.923339752,1,1,1,0,1,119,0.99447972,65,1,1,1,0,1,0.078740157,0.062992126,0.047244094,0.047244094,0.039370079,0.039370079,0.031496063,0.031496063,0.039370079,0.047244094,0.039370079,0.015748031,0.015748031,0.047244094,0.015748031,0.007874016,0.023622047,0.062992126,0.062992126,0.070866142,0.05511811,0.007874016,0.062992126,0.047244094,0.041666667,0.078740157,0.007874016,0.019616569,0.960724574,0.236220472,0.141732283,0.141732283,0.086614173,0.220472441,0.173228346,0.236220472,0.086614173,0.050707819,0.973138155,0.31496063,0.204724409,0.173228346,0.307086614,0.31496063,0.173228346,0.062093741,0.977307939
